1,151,0.00,Failure
1,208,0.00,Failure
1,237,0.00,Failure
1,762,0.00,Failure
1,762,0.00,Success
1,319,0.05,Failure
1,319,0.05,Success
1,366,0.10,Success
1,366,0.10,Success
1,732,0.00,Failure
1,732,0.00,Failure
1,297,0.05,Failure
1,752,0.00,Success
1,752,0.00,Failure
1,347,0.05,Failure
1,347,0.05,Success
1,165,0.10,Success
1,165,0.10,Success
1,925,0.15,Success
1,925,0.15,Success
1,298,0.20,Success
1,298,0.20,Success
1,390,0.00,Failure
1,390,0.00,Failure
2,886,0.00,Failure
2,886,0.00,Failure
3,370,0.00,Failure
3,370,0.00,Failure
4,22,0.00,Failure
4,22,0.00,Failure
5,385,0.00,Failure
5,385,0.00,Success
6,433,0.00,Failure
6,433,0.00,Failure
7,520,0.00,Failure
7,520,0.00,Failure
8,256,0.00,Failure
8,256,0.00,Success
9,612,0.00,Success
9,612,0.00,Success
10,186,0.00,Failure
10,186,0.00,Failure
1,5,0.05,Success
1,5,0.05,Success
2,673,0.05,Failure
2,673,0.05,Success
3,193,0.05,Success
3,193,0.05,Success
4,383,0.05,Failure
4,383,0.05,Success
5,909,0.05,Success
5,909,0.05,Success
6,354,0.05,Success
6,354,0.05,Success
7,511,0.05,Failure
7,511,0.05,Failure
8,698,0.05,Failure
8,698,0.05,Success
9,42,0.05,Success
9,42,0.05,Success
10,344,0.05,Failure
10,344,0.05,Success
1,476,0.10,Success
1,476,0.10,Success
2,81,0.10,Success
2,81,0.10,Success
3,73,0.10,Success
3,73,0.10,Success
4,709,0.10,Success
4,709,0.10,Success
5,100,0.10,Success
5,100,0.10,Success
6,531,0.10,Success
6,531,0.10,Success
7,820,0.10,Failure
7,820,0.10,Success
8,917,0.10,Failure
8,917,0.10,Success
9,349,0.10,Failure
9,349,0.10,Success
10,195,0.10,Success
10,195,0.10,Failure
1,116,0.15,Success
1,116,0.15,Success
2,894,0.15,Failure
2,894,0.15,Success
3,375,0.15,Success
3,375,0.15,Success
4,835,0.15,Success
4,835,0.15,Failure
5,274,0.15,Success
5,274,0.15,Success
6,968,0.15,Success
6,968,0.15,Success
7,592,0.15,Success
7,592,0.15,Failure
8,923,0.15,Success
8,923,0.15,Success
9,395,0.15,Failure
9,395,0.15,Success
10,10,0.15,Failure
10,10,0.15,Success
1,362,0.20,Failure
1,362,0.20,Success
2,533,0.20,Success
2,533,0.20,Success
3,183,0.20,Failure
3,183,0.20,Success
4,829,0.20,Success
4,829,0.20,Success
5,400,0.20,Success
5,400,0.20,Success
6,933,0.20,Success
6,933,0.20,Success
7,863,0.20,Success
7,863,0.20,Success
8,42,0.20,Success
8,42,0.20,Success
9,653,0.20,Success
9,653,0.20,Success
10,626,0.20,Success
10,626,0.20,Success
1,487,0.00,Failure
1,487,0.00,Success
2,960,0.00,Failure
2,960,0.00,Failure
3,203,0.00,Failure
3,203,0.00,Failure
4,854,0.00,Failure
4,854,0.00,Success
5,153,0.00,Failure
5,153,0.00,Failure
6,881,0.00,Failure
6,881,0.00,Failure
7,490,0.00,Failure
7,490,0.00,Failure
8,508,0.00,Failure
8,508,0.00,Failure
9,795,0.00,Failure
9,795,0.00,Failure
10,561,0.00,Failure
10,561,0.00,Success
11,825,0.00,Failure
11,825,0.00,Success
12,768,0.00,Failure
12,768,0.00,Failure
13,777,0.00,Failure
13,777,0.00,Failure
14,708,0.00,Failure
14,708,0.00,Failure
15,440,0.00,Failure
15,440,0.00,Failure
16,201,0.00,Failure
16,201,0.00,Failure
17,718,0.00,Failure
17,718,0.00,Failure
18,550,0.00,Failure
18,550,0.00,Failure
19,936,0.00,Failure
19,936,0.00,Failure
20,660,0.00,Failure
20,660,0.00,Failure
21,871,0.00,Failure
21,871,0.00,Failure
22,366,0.00,Failure
22,366,0.00,Failure
23,835,0.00,Failure
23,835,0.00,Success
24,815,0.00,Failure
24,815,0.00,Failure
25,553,0.00,Failure
25,553,0.00,Failure
26,212,0.00,Failure
26,212,0.00,Success
27,734,0.00,Failure
27,734,0.00,Failure
28,324,0.00,Failure
28,324,0.00,Failure
29,201,0.00,Failure
29,201,0.00,Failure
30,718,0.00,Failure
30,718,0.00,Failure
31,550,0.00,Failure
31,550,0.00,Failure
32,936,0.00,Failure
32,936,0.00,Failure
33,660,0.00,Failure
33,660,0.00,Failure
34,871,0.00,Failure
34,871,0.00,Failure
35,366,0.00,Failure
35,366,0.00,Failure
36,835,0.00,Failure
36,835,0.00,Success
37,815,0.00,Failure
37,815,0.00,Failure
38,553,0.00,Failure
38,553,0.00,Failure
39,212,0.00,Failure
39,212,0.00,Success
40,734,0.00,Failure
40,734,0.00,Failure
41,324,0.00,Failure
41,324,0.00,Failure
42,201,0.00,Failure
42,201,0.00,Failure
43,718,0.00,Failure
43,718,0.00,Failure
44,550,0.00,Failure
44,550,0.00,Failure
45,936,0.00,Failure
45,936,0.00,Failure
46,660,0.00,Failure
46,660,0.00,Failure
47,871,0.00,Failure
47,871,0.00,Failure
48,366,0.00,Failure
48,366,0.00,Failure
49,835,0.00,Failure
49,835,0.00,Success
50,815,0.00,Failure
50,815,0.00,Failure
1,553,0.05,Success
1,553,0.05,Success
2,569,0.05,Success
2,569,0.05,Success
3,61,0.05,Success
3,61,0.05,Failure
4,487,0.05,Success
4,487,0.05,Success
5,973,0.05,Success
5,973,0.05,Success
6,737,0.05,Success
6,737,0.05,Success
7,32,0.05,Success
7,32,0.05,Success
8,159,0.05,Failure
8,159,0.05,Success
9,25,0.05,Success
9,25,0.05,Success
10,647,0.05,Success
10,647,0.05,Success
11,995,0.05,Success
11,995,0.05,Success
12,264,0.05,Success
12,264,0.05,Success
13,568,0.05,Success
13,568,0.05,Success
14,249,0.05,Success
14,249,0.05,Success
15,539,0.05,Success
15,539,0.05,Success
16,414,0.05,Success
16,414,0.05,Success
17,367,0.05,Success
17,367,0.05,Success
18,584,0.05,Success
18,584,0.05,Success
19,374,0.05,Success
19,374,0.05,Success
20,608,0.05,Success
20,608,0.05,Success
21,350,0.05,Success
21,350,0.05,Success
22,877,0.05,Success
22,877,0.05,Success
23,190,0.05,Failure
23,190,0.05,Success
24,492,0.05,Failure
24,492,0.05,Failure
25,661,0.05,Success
25,661,0.05,Success
26,413,0.05,Failure
26,413,0.05,Success
27,823,0.05,Success
27,823,0.05,Success
28,519,0.05,Success
28,519,0.05,Success
29,355,0.05,Success
29,355,0.05,Success
30,693,0.05,Success
30,693,0.05,Success
31,849,0.05,Success
31,849,0.05,Failure
32,573,0.05,Success
32,573,0.05,Success
33,975,0.05,Success
33,975,0.05,Success
34,474,0.05,Success
34,474,0.05,Success
35,883,0.05,Success
35,883,0.05,Failure
36,425,0.05,Failure
36,425,0.05,Failure
37,750,0.05,Success
37,750,0.05,Success
38,575,0.05,Success
38,575,0.05,Success
39,970,0.05,Success
39,970,0.05,Success
40,460,0.05,Success
40,460,0.05,Success
41,123,0.05,Success
41,123,0.05,Success
42,812,0.05,Success
42,812,0.05,Success
43,851,0.05,Failure
43,851,0.05,Success
44,356,0.05,Failure
44,356,0.05,Success
45,210,0.05,Success
45,210,0.05,Success
46,76,0.05,Failure
46,76,0.05,Success
47,855,0.05,Success
47,855,0.05,Success
48,511,0.05,Failure
48,511,0.05,Failure
49,698,0.05,Failure
49,698,0.05,Success
50,42,0.05,Success
50,42,0.05,Success
1,344,0.10,Success
1,344,0.10,Success
2,5,0.10,Success
2,5,0.10,Failure
3,121,0.10,Success
3,121,0.10,Success
4,876,0.10,Failure
4,876,0.10,Success
5,504,0.10,Success
5,504,0.10,Success
6,439,0.10,Success
6,439,0.10,Success
7,819,0.10,Success
7,819,0.10,Success
